Restaurant Name,Rating,Cuisine,Location
Bakingo,4.2,"Bakery, Desserts, Beverages, Snacks",Banashankari
Meghana Foods,4.4,"Biryani, Andhra, South Indian, North Indian, Chinese, Seafood",Jayanagar
Wendy's,4.2,"Burgers, American, Fast Food, Snacks, Beverages",Residency Road
Subway,4.2,"Salads, Snacks, Desserts, Beverages",Basavanagudi
Corner House Ice Cream,4.6,"Ice Cream, Desserts",Basavanagudi
Truffles,4.5,"American, Desserts, Continental, Italian",St. Marks Road
Chicking,4.1,"American, Grill, Fast Food, Snacks, Pizzas, Mexican, Beverages",Rajajinagar
Great Indian Khichdi by EatFit,4.3,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, South Indian, Maharashtrian, Sweets",Vasanth Nagar
Grameen Kulfi,4.7,"Ice Cream, Desserts",Rajajinagar
MOJO Pizza - 2X Toppings,4.2,"Pizzas, Italian, Fast Food, Desserts",Basavanagudi
NH1 Bowls - Highway To North,4.5,"North Indian, Punjabi, Home Food",Mysore Road
Cafe Amudham,4.5,"South Indian, Snacks",Jayanagar
