Restaurant Name,Rating,Cuisine,Location
New Ashoka Pure Veg,4,"South Indian, North Indian, Desserts",Bhosari
Domino's Pizza,4.1,"Pizzas, Italian, Pastas, Desserts",Pimpri
KFC,4,"Burgers, Biryani, American, Snacks, Fast Food",Pimple Saudagar
Sheetal Refreshment,4.1,"North Indian, Chinese, South Indian, Beverages",Pimpri
Grameen Kulfi,4.7,"Ice Cream, Desserts",Pimpri Chinchwad
Great Indian Khichdi by EatFit,4.2,"Indian, Home Food, Healthy Food, Snacks",Pimpri
Empire Garden,4.3,"North Indian, Chinese",Pimpri
Kimling Rush,4.3,"Chinese, Thai, Pan-Asian, Seafood, Desserts, Beverages",Pimple Saudagar
Kwality Walls Frozen Dessert and Ice Cream Shop,4.7,"Desserts, Ice Cream, Ice Cream Cakes",Pimpri
Natural Ice Cream,4.6,"Ice Cream, Desserts",Pimple Saudagar
NIC Ice Creams,4.6,"Ice Cream, Desserts",Pimpri
Oven Story Pizza - Standout Toppings,4.2,"Pizzas, Pastas, Italian, Desserts, Beverages",Nigdi
