Restaurant Name,Rating,Cuisine,Location
New Ashoka Pure Veg,4,"South Indian, North Indian, Desserts",Bhosari
Domino's Pizza,4.1,"Pizzas, Italian, Pastas, Desserts",Pimpri
KFC,4,"Burgers, Biryani, American, Snacks, Fast Food",Pimple Saudagar
McDonald's,4.3,"Burgers, Beverages, Cafe, Desserts",Pimple Gurav
Sheetal Refreshment,4.1,"North Indian, Chinese, South Indian, Beverages",Pimpri
Grameen Kulfi,4.7,"Ice Cream, Desserts",Pimpri Chinchwad
Pathik Biryani House.,4.3,"North Indian, Biryani",Pimpri
Empire Garden,4.3,"North Indian, Chinese",Pimpri
Kimling Rush,4.3,"Chinese, Thai, Pan-Asian, Seafood, Desserts, Beverages",Pimple Saudagar
Kwality Walls Frozen Dessert and Ice Cream Shop,4.7,"Desserts, Ice Cream, Ice Cream Cakes",Pimpri
Theobroma,4.3,"Bakery, Desserts",Pimple Saudagar
Baskin Robbins - Ice Cream Desserts,4.2,"Desserts, Ice Cream",Bhosari
